"","pond","id_bu","id_bu_encuesta","secu","estrato","encuesta","encuesta_a","encuesta_m","region_3","zona_u_r","gse","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_co","eval_act_pol_1_gz","eval_act_pol_1_gy","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_fo","eval_act_pol_1_gf","eval_act_pol_1_gq","eval_act_pol_1_gw","eval_act_pol_1_gx","eval_act_pol_1_ha","eval_act_pol_1_ae","eval_act_pol_1_em","eval_act_pol_1_gu","eval_act_pol_1_hb","eval_act_pol_1_dv","eval_act_pol_1_ep","eval_act_pol_1_en","eval_act_pol_1_p","eval_act_pol_17","eval_act_pol_18","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","confianza_6_ac","democracia_21","pp_congreso_61_b","religion_14","pobreza_68_e","ciudadania_16","ciudadania_33_a","ciudadania_33_b","ciudadania_33_c","ciudadania_33_d","ciudadania_33_e","ciudadania_33_f","ciudadania_33_g","ciudadania_33_h","ciudadania_33_i","ciudadania_33_k","ciudadania_33_j","ciudadania_33_l","ciudadania_33_m","ciudadania_34","bienestar_13_c","bienestar_13_h","bienestar_13_g","bienestar_13_f","info_enc_49","educacion_21","educacion_67","educacion_112_aleatorio_deck","educacion_112_deck_1","educacion_112_deck_2","educacion_112_deck_3","educacion_112_deck_4","educacion_112_a","educacion_112_b","educacion_112_c","educacion_112_d","educacion_113","educacion_114","educacion_106","salud_85","salud_86","salud_87","salud_88","seguridad_37_a","seguridad_37_b","seguridad_37_c","democracia_38","seguridad_38","seguridad_39_a","seguridad_39_b","seguridad_39_c","seguridad_40","seguridad_41_a","seguridad_41_b","ciudadania_31","rol_gobierno_27","seguridad_42_a","seguridad_42_b","seguridad_45","seguridad_46_a","seguridad_46_b","seguridad_46_c","seguridad_46_d","seguridad_47_a","seguridad_47_b","seguridad_47_c","seguridad_47_d","seguridad_49","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b_2","sexo","edad","info_enc_59_2","info_enc_58","info_enc_30_b","info_enc_61","esc_nivel_1_c","info_enc_57","info_hogar_28_c","info_enc_62","salud_5_b","religion_82"
"810",1.38553897,"810-91",810,91175,20,91,2024,6,13,1,3,10,1,11,1,2,3,2,4,2,2,-9,2,3,6,-8,2,2,6,6,6,6,6,6,6,4,-8,6,4,4,-8,-8,5,2,1,4,1,1,4,3,1,3,2,2,3,1,3,4,3,3,4,1,3,3,3,3,1,1,1,2,2,2,2,2,2,2,2,2,-8,-8,-8,4,2,1,10,10,10,10,1,2,5,8,5,26,57,80,1,0,10,0,5,2,1,3,3,1,2,1,11,6,10,2,1,1,1,1,4,5,5,1,3,3,1,4,2,4,4,NA,NA,NA,NA,1,15,15,1,2,NA,2,43,1,1,5,2,4,2,3,8,1,2
"811",1.34610803,"811-91",811,91007,2,91,2024,6,2,1,4,5,1,16,3,1,3,3,3,3,1,-9,3,3,6,6,3,3,6,6,6,6,6,6,6,3,6,6,6,-9,6,6,3,9,7,3,-8,3,-8,-8,3,4,3,3,3,3,-8,3,3,3,3,-8,3,3,3,3,2,3,4,3,-8,2,-8,2,-8,2,-8,-8,-8,-8,-8,2,-8,-8,10,10,10,10,2,NA,NA,14,7,45,55,83,10,10,10,0,4,5,3,1,NA,4,NA,11,8,2,10,5,3,2,3,2,3,5,5,2,1,1,2,NA,NA,NA,NA,-9,-9,-9,-9,6,15,15,1,4,NA,2,65,1,2,NA,2,4,1,NA,7,2,1
"812",0.49409299,"812-91",812,91135,18,91,2024,6,11,1,3,3,5,10,1,2,3,3,5,3,2,-9,1,3,3,3,3,1,3,6,6,6,6,6,6,4,4,6,6,4,6,3,3,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,4,3,3,2,3,1,4,4,4,4,4,4,2,4,2,2,4,4,4,4,1,10,10,10,10,1,2,7,7,3,20,53,88,0,10,10,0,1,2,2,3,5,1,2,2,7,11,10,2,4,1,1,2,1,2,1,2,3,3,2,NA,NA,NA,NA,-8,1,-9,5,6,15,15,1,3,NA,2,50,1,2,NA,2,8,1,NA,1,4,5
"813",2.01426833,"813-91",813,91215,20,91,2024,6,13,1,2,9,10,5,1,3,3,2,3,3,2,6,3,4,6,3,5,5,3,2,6,6,6,6,6,4,5,5,5,1,6,2,5,5,4,4,2,4,4,2,1,2,1,3,3,3,3,4,3,4,3,3,2,2,4,3,1,2,1,5,5,5,2,5,3,4,4,2,3,3,2,5,5,6,10,9,10,0,2,NA,NA,1,32,37,54,82,0,10,0,0,1,2,1,1,NA,3,NA,2,11,6,7,2,1,1,1,2,1,4,5,2,3,3,1,2,3,5,5,NA,NA,NA,NA,4,10,NA,1,1,NA,2,28,1,2,NA,1,6,2,4,4,3,1
"814",0.46167569,"814-91",814,91210,20,91,2024,6,13,1,4,10,9,3,1,3,2,2,5,3,2,6,1,4,6,6,3,2,3,6,6,6,6,6,6,6,6,1,3,6,6,6,4,9,1,4,4,3,2,4,-8,3,1,2,4,4,4,4,4,4,4,4,3,4,4,2,-8,-9,2,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7,10,0,10,10,1,2,-8,6,17,40,52,84,9,0,1,5,2,5,2,3,3,5,NA,1,11,3,10,2,2,2,2,5,1,4,2,2,3,3,-8,NA,NA,NA,NA,NA,NA,NA,NA,3,15,15,1,1,NA,1,56,1,2,NA,2,4,1,NA,1,4,9
"815",0.9354705,"815-91",815,91210,20,91,2024,6,13,1,3,3,11,10,2,2,3,3,4,2,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,-8,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,-9,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,10,10,10,10,1,2,6,23,23,41,68,76,5,9,4,3,2,5,2,2,2,5,NA,6,2,1,8,5,1,1,1,2,5,-8,-8,1,3,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,8,15,15,1,3,NA,2,34,1,2,NA,2,2,2,4,1,2,9
"816",0.73896386,"816-91",816,91158,20,91,2024,6,13,1,3,11,3,2,2,2,3,3,4,2,2,-9,-9,6,-8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,-9,-9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,1,5,5,5,5,5,5,5,-8,5,-8,5,5,5,5,6,7,0,7,-7,NA,NA,NA,22,22,44,50,75,2,1,2,8,3,-8,1,3,2,5,NA,1,2,9,8,2,3,3,3,2,2,4,4,2,3,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,4,15,15,1,-9,NA,1,27,1,2,NA,2,6,1,NA,1,4,9
"817",1.91544277,"817-91",817,91158,20,91,2024,6,13,1,3,7,3,11,1,2,1,3,1,2,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1,-8,2,1,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,10,-7,10,-7,NA,NA,NA,13,14,29,70,96,-8,-9,-8,-8,-8,5,1,1,NA,5,NA,2,3,6,-9,2,-8,-8,-8,2,4,5,5,-9,3,-8,-8,NA,NA,NA,NA,NA,NA,NA,NA,-8,15,15,1,-9,NA,2,76,1,2,NA,2,2,2,4,7,1,1
"818",0.7608029,"818-91",818,91006,2,91,2024,6,2,1,4,14,13,10,3,3,-8,4,4,3,2,2,1,6,6,4,2,4,6,2,3,2,6,6,6,5,4,5,2,2,6,3,5,2,3,1,1,4,4,4,1,4,3,4,4,3,4,4,4,4,4,1,4,4,4,3,2,2,1,5,5,5,5,3,5,5,1,1,3,2,5,5,5,2,10,10,10,10,1,1,7,5,12,34,58,77,0,0,0,0,1,5,2,3,3,1,5,6,1,2,10,1,1,1,1,1,1,4,1,1,3,3,1,-8,5,4,4,NA,NA,NA,NA,8,3,NA,2,NA,1,2,61,1,1,NA,2,3,1,NA,1,2,1
"819",2.00810419,"819-91",819,91006,2,91,2024,6,2,1,4,5,3,9,1,3,3,4,5,3,2,-9,-9,6,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,3,-8,-8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,-9,-9,1,5,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,10,10,10,10,1,2,7,21,21,38,49,93,5,5,5,5,1,5,1,3,3,5,NA,1,6,5,10,4,1,1,1,2,1,-8,1,1,3,3,-8,NA,NA,NA,NA,NA,NA,NA,NA,-8,15,15,1,-9,NA,2,47,1,2,NA,2,4,1,NA,8,3,-9
