"fecha","anio","mes","latitud","longitud","profundidad","magnitud","categoria_magnitud","categoria_profundidad","sismo_mayor_5","sismo_mayor_6","region_asignada","metodo_asignacion_region","macrozona","region_id"
2019-09-16,2019,9,-19.06,-69.54,92,4.4,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-07-31,2019,7,-19.37,-70.06,74,3.6,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-01-29,2020,1,-21.56,-69.62,48,3.5,"Menor a 4","Intermedio",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2019-10-29,2019,10,-23.13,-70.67,37,4.8,"4.0 a 4.9","Intermedio",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2019-10-17,2019,10,-23.7,-68.99,92,4.3,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2020-03-17,2020,3,-20.14,-69.23,94,4.1,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-27,2019,9,-23.17,-69.11,111,4.8,"4.0 a 4.9","Profundo",0,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2019-07-31,2019,7,-20.07,-69.76,73,3.8,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-01-09,2020,1,-19.64,-70.06,46,4.3,"4.0 a 4.9","Intermedio",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-07-12,2019,7,-19.69,-69.73,75,3.3,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2020-02-18,2020,2,-19.12,-70.44,63,3.9,"Menor a 4","Intermedio",0,0,"Arica y Parinacota","Región más cercana","Norte","region_3"
2020-03-10,2020,3,-22.15,-68.11,157,5,"5.0 a 5.9","Profundo",1,0,"Antofagasta","Dentro del polígono regional","Norte","region_1"
2019-05-24,2019,5,-20.03,-69.14,94,3.7,"Menor a 4","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-09-14,2019,9,-25.19,-70.67,19,4.2,"4.0 a 4.9","Superficial",0,0,"Antofagasta","Región más cercana","Norte","region_1"
2019-09-30,2019,9,-20.29,-70.23,42,3.5,"Menor a 4","Intermedio",0,0,"Tarapacá","Región más cercana","Norte","region_15"
2020-03-02,2020,3,-18.2,-70.41,57,4.8,"4.0 a 4.9","Intermedio",0,0,"Arica y Parinacota","Región más cercana","Norte","region_3"
2019-10-29,2019,10,-19.55,-69.38,98,4.4,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
2019-07-04,2019,7,-19.31,-69.41,94,4.2,"4.0 a 4.9","Profundo",0,0,"Tarapacá","Dentro del polígono regional","Norte","region_15"
